id,title,parent,entity,type,town,owner,operator,count_approved,monthly,reg_date,is_active,size,size_in,size_out,indoor_area_per_child,shuttle,after_care,pre_public,penalty_count,total_fine,nonmonetary_sanction_count
95cd5167-79de-4f4f-85a4-9e65c05d23e0,新北市私立育才幼兒園,新北市私立育才幼兒園,新北市私立育才幼兒園,私立,中和區,葉思菁,,80,13605,1998/12/09,1,278.45,167.91,110.54,2.1,0,0,無,0,0,0
95eb6c52-42e7-4fae-b8f3-0ce76dd3c6c8,新北市立林口幼兒園忠孝分班,新北市立林口幼兒園,新北市立林口幼兒園,公立,林口區,,,60,3706,2003/06/25,1,417.49,186.0,231.49,3.1,0,0,無,0,0,0
960ac56c-b94d-4a50-995a-6655f8f86633,新北市中和區自強國民小學附設幼兒園,新北市中和區自強國民小學附設幼兒園,新北市中和區自強國民小學附設幼兒園,公立,中和區,張明賢,,210,3728,1993/09/07,1,2300.0,1300.0,1000.0,6.19,0,0,無,0,0,0
96247b6a-7517-4ba7-8496-416d167b0c1f,新北市私立安邦幼兒園,新北市私立安邦幼兒園,新北市私立安邦幼兒園,私立,中和區,謝慧芬,,35,5836,1998/09/23,0,123.23,69.23,54.0,1.98,0,0,無,0,0,0
963ea442-cfb9-48df-94c5-b949f833bf20,新北市中和區光復國民小學附設幼兒園,新北市中和區光復國民小學附設幼兒園,新北市中和區光復國民小學附設幼兒園,公立,中和區,許以平,,272,3728,1999/10/08,1,4260.0,2494.0,1766.0,9.17,0,0,無,1,6000,0
967b5756-78f1-4415-8b52-9c883e2473e3,新北市私立可爾威德幼兒園,新北市私立可爾威德幼兒園,新北市私立可爾威德幼兒園,私立,淡水區,顏美麗,,59,18548,2003/04/24,1,238.6,167.19,71.41,2.83,0,0,無,0,0,0
969acc4d-fc0c-4cf1-865e-e54e49cdcf59,新北市私立邱吉爾幼兒園,新北市私立邱吉爾幼兒園,新北市私立邱吉爾幼兒園,私立,八里區,陳淑芬,,31,5643,2002/07/22,1,110.59,110.59,,3.57,0,0,無,2,66000,0
96c2d902-4819-43a2-91d8-1d6b008503c9,新北市私立三暉幼兒園,新北市私立三暉幼兒園,新北市私立三暉幼兒園,私立,永和區,孫健一,,120,14960,1979/11/01,1,473.6,352.0,121.6,2.93,0,0,無,0,0,0
96ef36d1-1015-49bc-a314-3d06d6fb477d,新北市私立文聖幼兒園,新北市私立文聖幼兒園,新北市私立文聖幼兒園,私立,板橋區,李琳瓊,,45,4500,2013/03/28,1,161.679,161.679,,3.59,0,0,113-115,1,6000,0
97320624-d2b0-489c-93c0-9f74f783af46,新北市私立金吉邇幼兒園,新北市私立金吉邇幼兒園,新北市私立金吉邇幼兒園,私立,三重區,黃琮晏,,51,3000,2021/11/22,1,391.18,162.39,228.79,3.18,0,0,114-115,1,60000,0
