code,short_name,academic_year,personnel_budget,personnel_actual,personnel_shortfall,personnel_execution,development_expense,development_unbudgeted,ratio_transfer_to_shortfall
N34,佳和,112,7502224,6472036,1030188,0.8627,2373000,1,2.303
N06,昌平,111,8783086,7770536,1012550,0.8847,1382600,1,1.365
N16,中平,112,9917182,8916311,1000871,0.8991,1330000,1,1.329
N13,三多,113,9168382,8185812,982570,0.8928,2000000,1,2.035
N23,菁湖,110,7574852,6594614,980238,0.8706,521550,1,0.532
N10,大觀,112,9880024,8924216,955808,0.9033,176650,1,0.185
N17,中正,110,4999062,4094563,904499,0.8191,577600,1,0.639
N01,安溪,110,7645622,6763467,882155,0.8846,1099000,1,1.246
N24,佳林,110,6705264,5829309,875955,0.8694,628000,1,0.717
N25,碧城,111,8743585,7877577,866008,0.901,1678000,1,1.938
N18,福營,110,6907621,6042382,865239,0.8747,80773,1,0.093
N09,安興,110,5098449,4234041,864408,0.8305,820000,1,0.949
N19,中園,110,9633800,8790805,842995,0.9125,432000,1,0.512
N03,龍埔成長,113,9548493,8710840,837653,0.9123,1699800,1,2.029
N25,碧城,110,8104538,7280058,824480,0.8983,366000,1,0.444
N02,山北,110,7774379,6971731,802648,0.8968,294400,1,0.367
N22,文仁,110,7113672,6320807,792865,0.8885,1323000,1,1.669
N25,碧城,113,9152396,8380317,772079,0.9156,2259000,1,2.926
N10,大觀,113,10081901,9314356,767545,0.9239,1709900,1,2.228
N18,福營,111,9607730,8845271,762459,0.9206,890000,1,1.167
N05,漢翔,111,7175076,6412661,762415,0.8937,744800,1,0.977
N03,龍埔成長,110,7989599,7235004,754595,0.9056,98000,1,0.13
N04,海工,110,4548105,3798440,749665,0.8352,336000,1,0.448
N37,清水高中,113,6460352,5720932,739420,0.8855,92221,1,0.125
N11,新林,110,10243736,9506267,737469,0.928,,0,
N14,積穗,110,8068814,7367122,701692,0.913,582900,1,0.831
N02,山北,112,9854366,9157815,696551,0.9293,1833375,1,2.632
N02,山北,111,7982336,7286602,695734,0.9128,620000,1,0.891
N10,大觀,111,9654182,8970981,683201,0.9292,570000,1,0.834
N13,三多,110,6922972,6256592,666380,0.9037,900000,1,1.351
N04,海工,111,4663319,4018956,644363,0.8618,480000,1,0.745
N18,福營,113,10035406,9406758,628648,0.9374,634865,1,1.01
N04,海工,113,5682706,5072224,610482,0.8926,1170000,1,1.917
N14,積穗,111,9825800,9226443,599357,0.939,1208000,1,2.015
N09,安興,113,5355189,4817555,537634,0.8996,1419000,1,2.639
N11,新林,111,11587994,11076596,511398,0.9559,730000,1,1.427
N11,新林,112,11862363,11352830,509533,0.957,520000,1,1.021
N14,積穗,112,10051629,9542297,509332,0.9493,1285374,1,2.524
N16,中平,110,8206380,7715140,491240,0.9401,607000,1,1.236
N11,新林,113,12108720,11667233,441487,0.9635,1400000,1,3.171
N18,福營,112,9833569,9416455,417114,0.9576,513911,1,1.232
N36,明德,113,7666665,7273300,393365,0.9487,,0,
N10,大觀,110,8228230,8041532,186698,0.9773,116000,1,0.621
N07,北大,113,17082193,17915419,-833226,1.0488,1170239,1,
