channel,institution_id,institution_title,headline,url,published,publisher,attribution_basis,kind,status
news_rss,7196f653-1692-4cdc-9408-0ec0514cd563,新北市私立福音幼兒園,新北福音幼兒園爆虐童！施暴教保員還曾獲獎 林月琴爆：教育局不給調查報告 - Yahoo新聞,https://news.google.com/rss/articles/CBMi1wNBVV95cUxNYmhUaFY0MFppYVJLVnF2cXNRYXZ5Z2ZUTHVKOThBcDdNM2x0d2x4STBGTHFod25yUFlvSURhRUMzc0ZvVVBNUTN6OHpGQUt1V01OWFY0VGFZZGFibnFneHNXbE9xekwxMU5RWVU1ZWtlS1dhVjFILVNmSVBxY0lPZlgyMVpHM3ZydWxHa1FyWUg3ZlMxaFRJeWFseXVQeC1GU2FnTE9KVnZwT04wdmgxV0ROdkxjT2lMRURueDd4UWNlUDhoVjk1ZC12Y2YxQUx2bTFKSzFlZVMxamFnQ1JpR3hEVjFxNHpsblFfLXFvbXJZaU1DdnRvMTVNajJxMDFvZ0JFb2ZJX0lRT1BmQTJHWDRzV1ppeWRXclFzT0JfVElBYUJzZEJweGlpZDMyR0pFazdwMVdMZ2VSa1RLRUN0TWQtdW1Rc1o0ZUhrY3RyeTlnNldpVUlqeV9jQkFMeHE0MEZHZENHZy1SZXVVUTVJVHBZcG1MX0RfbWFSWW14alRnSllScFllU1Bhclp4bHdQUk80anVIZHdLTzUxTDhjQmdXeTA3OEh3LXdUX3drTDRQalVPa2hGU3MwWHRwUUhxbEpDSDZCLS14TUo4cVlTZklvdDFSNlk?oc=5,2024-07-22,Yahoo新聞,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,7196f653-1692-4cdc-9408-0ec0514cd563,新北市私立福音幼兒園,影／直擊新北福音幼兒園放學除畢業生外過半將轉學| 時事 - 聯合影音,https://news.google.com/rss/articles/CBMiSkFVX3lxTE5LS0hTcmVGWFN0dXdOdjF3c3BaejRPTXM1enlsemxEVWhXUW9sMkw3cmNtN0wwR3JjTTlCN2tvRWpaTFgxdnU3UXJR?oc=5,2024-07-22,聯合影音,標題以機構名稱形式出現可辨識名稱,unclear,待人工研判
news_rss,7196f653-1692-4cdc-9408-0ec0514cd563,新北市私立福音幼兒園,強逼脫褲羞辱！新北福音幼兒園3名惡師「施暴8孩童」 教育局勒令停招 - 鏡週刊Mirror Media,https://news.google.com/rss/articles/CBMiW0FVX3lxTFB1NE94TGw2Qmo5LVFuVGZWSUlFYjhqVHVMWmUtMkl3RVBWYWlPTjd1NXJlZWRmZnhKMVl5Q1dtQUtlMTZVR2staXhzbHZsUXpzUXdFZjFiODRqdTQ?oc=5,2024-07-22,鏡週刊Mirror Media,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,ddd713e8-82fc-4044-af3b-f5081eccf198,新北市私立華盛頓幼兒園,華盛頓幼兒園上月才超收挨罰　再爆超收上百人 - 好房網News,https://news.google.com/rss/articles/CBMia0FVX3lxTE5jdFNLUmxjWGR4WFc4NW1JNWdNQVNndjhQbDJHalNVSS1NZHJQcUpQdU5RWWFlVXJydFduUjZmLXVLSG0wZG1FMmdUcFN4U2xLWFJ5dldOWVF3UGhGZ2Q0Qmg4Y0p0RW1feENv0gFwQVVfeXFMT1lNdWQwQUE5N3hUWVhaaUpsSEtUS2lXQ25KdUwzbW5xNUJ6WEVoMWMyeGFwc1NaaTEyR2toYjNfNkd6OGhrZXQ5TGExZU5sZUt6cGVXYjByNmlqOTRrVk1nZkg3a0pRQ0hUbVJZLU1VUw?oc=5,2020-07-03,好房網News,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,afc5cb83-ded9-4a88-a026-a77b70c2d74d,新北市私立中冠幼兒園,新北中冠幼兒園爆超收逾50名孩童開罰17萬元勒令停業- 生活 - 自由時報,https://news.google.com/rss/articles/CBMiZEFVX3lxTE9ESXdfRFR6WEdtNl9MdHR0aVg2aGY3WmhxZVZic1BJQjFUeGhJMVBjaC05NTBiQWl0c1U4aU9udkFTSGVyLW9rTmlTRGtiYXBVSEVsTE1sR2l2aHBXeHN1OVdqUzc?oc=5,2019-11-06,自由時報,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,afc5cb83-ded9-4a88-a026-a77b70c2d74d,新北市私立中冠幼兒園,蘆洲中冠幼兒園違規超收 新北重罰勒令停業1年 - 台灣好新聞,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5YeVRCVkZkaVpEZUdhX2JSNmQ1U3VlZ2N4ak9iNWpTYzJhVm4yY3ViVGVKZUFLVzEyTjMxWXBrTmw4R2lTNllkQ1NSNA?oc=5,2019-11-06,台灣好新聞,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,afc5cb83-ded9-4a88-a026-a77b70c2d74d,新北市私立中冠幼兒園,蘆洲中冠幼兒園6度超收 遭勒令停業1年 - 中時新聞網,https://news.google.com/rss/articles/CBMibkFVX3lxTE1aT3RSRzBpNUZ0MUFGeWY2TzB2elhpUjBkQm13akVvV0ZfWUNWcjRfbEMwbHFtUjhocW1kSGFoX1BuQldyR3d1a2x5UG9BMHM3d2FLa3RMUTdZN3dXZ1lxaHdKalRJTWxxT0ltOVFR?oc=5,2019-11-06,中時新聞網,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,afc5cb83-ded9-4a88-a026-a77b70c2d74d,新北市私立中冠幼兒園,蘆洲中冠幼兒園違規超收 新北重罰勒令停業1年 - Life 生活網,https://news.google.com/rss/articles/CBMiS0FVX3lxTE5QRnJkVnByUlFxa2NlYXdZMVUycjFxSGJsUVpwNi1sVGFhYWFMeGpLeFoxVEJFWEhVWHlCdGdISmQtMnhXZTJsZXREVQ?oc=5,2019-11-06,Life 生活網,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,df65b2a1-e05d-420e-aa85-8a752e351c9d,新北市私立皇佳幼兒園,皇佳幼兒園遭停招 負責人重罰 - 中時新聞網,https://news.google.com/rss/articles/CBMia0FVX3lxTE9vOERaUG9EQW1TZXFLdl9iMWM2U2xOYzlxc1lLT2pZM2UtYmFETHRYWXVDN1FaalhFYXlTRVAwdWtBWlRDTkdpN1hfdGpUbWFzZHlPdVhkdWk0ckxxUGMtMzFqWFpUZkZHZ0Zv?oc=5,2019-10-08,中時新聞網,標題以機構名稱形式出現可辨識名稱,unclear,待人工研判
news_rss,df65b2a1-e05d-420e-aa85-8a752e351c9d,新北市私立皇佳幼兒園,台灣幼教「寄生上流」翻版？皇佳幼兒園超收90生反鎖密室避稽查 - 遠見雜誌,https://news.google.com/rss/articles/CBMiTEFVX3lxTFBaaXQ3MFJDODhEODRaTEZhcnk1MjAwV182dDlJcUtSRFNwNXpsUWV1bXJhY2RhaEtUX3dsZDdhWHhua0I5QnlqbnU4aG0?oc=5,2019-10-03,遠見雜誌,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
news_rss,df65b2a1-e05d-420e-aa85-8a752e351c9d,新北市私立皇佳幼兒園,超收學童藏「密室」 皇佳幼兒園減招、皇龍補習班停招- 生活 - 自由時報,https://news.google.com/rss/articles/CBMiZEFVX3lxTFBhUEQ3SzhETFFlVzlRZld4WlBSNUVROHl4MHVlbGVCdU1qcmNGeGdUeFRsOFFKOUNzWkVFLVZPdExJN3d0SHVsRFcxSzBiUTBMUVEzQVJoajRQRWQtZnQ4Z3NzZEg?oc=5,2019-10-02,自由時報,標題以機構名稱形式出現可辨識名稱,incident,待人工研判
