code,short_name,academic_year,anomaly_score,rank_in_year,percentile_in_year,n_peers,n_features,change_score,n_anomalies,anomaly_1,anomaly_2,anomaly_3,contribution_1,contribution_2,contribution_3
N08,鷺江,112,0.6941,20,42.4,34,16,0.7309,0,,,,未編列預算支出占比 0.782（同年中位 0.404，偏高，第 91 百分位；同儕 34 園）,人事費占支出比 0.394（同年中位 0.574，偏低，第 15 百分位；同儕 34 園）,材料費占支出比 0.076（同年中位 0.097，偏低，第 6 百分位；同儕 34 園）
N15,新月,113,0.6926,24,37.8,38,16,0.8225,0,,,,預收款覆蓋倍數 1.444（同年中位 2.215，偏低，第 3 百分位；同儕 34 園）,流動比率 1.204（同年中位 1.455，偏低，第 3 百分位；同儕 38 園）,負債占資產比 0.926（同年中位 0.868，偏高，第 95 百分位；同儕 38 園）
N15,新月,112,0.6921,21,39.4,34,15,0.8169,0,,,,師生比（每師幼兒數） 9.263（同年中位 11.062，偏低，第 9 百分位；同儕 34 園）,材料費占支出比 0.070（同年中位 0.097，偏低，第 3 百分位；同儕 34 園）,行政管理費占收入比 0.014（同年中位 0.016，偏低，第 21 百分位；同儕 34 園）
N32,板橋員工子女,112,0.6916,22,36.4,34,16,0.4804,0,,,,行政管理費占收入比 0.013（同年中位 0.016，偏低，第 15 百分位；同儕 34 園）,業務費占支出比 0.017（同年中位 0.032，偏低，第 3 百分位；同儕 34 園）,預收款覆蓋倍數 1.561（同年中位 2.026，偏低，第 3 百分位；同儕 34 園）
N19,中園,111,0.6839,17,48.4,32,16,0.9156,0,,,,招收利用率 0.949（同年中位 0.991，偏低，第 16 百分位；同儕 32 園）,代收代付等占收入比 0.220（同年中位 0.127，偏高，第 100 百分位；同儕 27 園）,行政管理費占收入比 0.010（同年中位 0.016，偏低，第 23 百分位；同儕 30 園）
N11,新林,113,0.6812,25,35.1,38,16,0.4361,0,,,,人事費執行率 0.964（同年中位 0.874，偏高，第 97 百分位；同儕 38 園）,師生比（每師幼兒數） 11.636（同年中位 9.589，偏高，第 97 百分位；同儕 38 園）,人事費占支出比 0.633（同年中位 0.558，偏高，第 79 百分位；同儕 38 園）
N23,菁湖,111,0.6804,18,45.2,32,16,0.5654,0,,,,招收利用率 0.962（同年中位 0.991，偏低，第 22 百分位；同儕 32 園）,行政管理費占收入比 0.011（同年中位 0.016，偏低，第 27 百分位；同儕 30 園）,業務費占支出比 0.044（同年中位 0.033，偏高，第 84 百分位；同儕 32 園）
N30,文中,113,0.6777,26,32.4,38,15,0.7083,0,,,,材料費占支出比 0.122（同年中位 0.088，偏高，第 100 百分位；同儕 38 園）,人事費執行率 0.791（同年中位 0.874，偏低，第 13 百分位；同儕 38 園）,行政管理費占收入比 0.017（同年中位 0.015，偏高，第 92 百分位；同儕 38 園）
N03,龍埔成長,111,0.6741,19,41.9,32,16,0.4943,0,,,,預收款覆蓋倍數 2.916（同年中位 2.169，偏高，第 97 百分位；同儕 32 園）,負債占資產比 0.763（同年中位 0.836，偏低，第 16 百分位；同儕 32 園）,行政管理費占收入比 0.010（同年中位 0.016，偏低，第 10 百分位；同儕 30 園）
N10,大觀,113,0.6689,27,29.7,38,16,0.5994,0,,,,代收代付等占收入比 0.229（同年中位 0.100，偏高，第 96 百分位；同儕 25 園）,流動比率 1.238（同年中位 1.455，偏低，第 8 百分位；同儕 38 園）,人事費執行率 0.924（同年中位 0.874，偏高，第 89 百分位；同儕 38 園）
N22,文仁,112,0.6592,23,33.3,34,16,1.1471,0,,,,修繕購置費執行率 0.476（同年中位 0.900，偏低，第 9 百分位；同儕 34 園）,預收款覆蓋倍數 2.729（同年中位 2.026，偏高，第 88 百分位；同儕 34 園）,業務費占支出比 0.024（同年中位 0.032，偏低，第 21 百分位；同儕 34 園）
N08,鷺江,110,0.657,18,37.0,28,16,,1,招收利用率 0.962（同年中位 0.997，偏低，第 7 百分位；同儕 28 園）,,,招收利用率 0.962（同年中位 0.997，偏低，第 7 百分位；同儕 28 園）,行政管理費占收入比 0.018（同年中位 0.011，偏高，第 75 百分位；同儕 28 園）,人事費執行率 0.819（同年中位 0.870，偏低，第 18 百分位；同儕 28 園）
N11,新林,110,0.6554,19,33.3,28,16,,0,,,,材料費占支出比 0.136（同年中位 0.108，偏高，第 93 百分位；同儕 28 園）,人事費執行率 0.928（同年中位 0.870，偏高，第 93 百分位；同儕 28 園）,流動比率 1.283（同年中位 1.447，偏低，第 11 百分位；同儕 28 園）
N18,福營,111,0.6514,20,38.7,32,16,0.9033,0,,,,負債占資產比 0.735（同年中位 0.836，偏低，第 9 百分位；同儕 32 園）,人事費執行率 0.921（同年中位 0.856，偏高，第 91 百分位；同儕 32 園）,流動比率 1.674（同年中位 1.449，偏高，第 88 百分位；同儕 32 園）
N29,東湖,113,0.6479,28,27.0,38,16,0.4406,0,,,,維護費執行率 1.299（同年中位 0.706，偏高，第 100 百分位；同儕 38 園）,行政管理費占收入比 0.012（同年中位 0.015，偏低，第 8 百分位；同儕 38 園）,材料費占支出比 0.103（同年中位 0.088，偏高，第 87 百分位；同儕 38 園）
N03,龍埔成長,110,0.6451,20,29.6,28,16,,0,,,,負債占資產比 0.751（同年中位 0.841，偏低，第 14 百分位；同儕 28 園）,預收款覆蓋倍數 2.825（同年中位 2.203，偏高，第 82 百分位；同儕 28 園）,流動比率 1.673（同年中位 1.447，偏高，第 86 百分位；同儕 28 園）
N03,龍埔成長,113,0.6408,29,24.3,38,15,1.605,0,,,,師生比（每師幼兒數） 7.889（同年中位 9.589，偏低，第 5 百分位；同儕 38 園）,"每生成本 191,612.324（同年中位 164,419.555，偏高，第 92 百分位；同儕 38 園）",人事費占支出比 0.640（同年中位 0.558，偏高，第 82 百分位；同儕 38 園）
N10,大觀,111,0.636,21,35.5,32,16,0.6008,0,,,,負債占資產比 0.913（同年中位 0.836，偏高，第 94 百分位；同儕 32 園）,人事費執行率 0.929（同年中位 0.856，偏高，第 94 百分位；同儕 32 園）,"每生成本 142,080.352（同年中位 125,068.288，偏高，第 88 百分位；同儕 32 園）"
N34,佳和,113,0.6351,30,21.6,38,14,0.5685,0,,,,負債占資產比 0.989（同年中位 0.868，偏高，第 100 百分位；同儕 38 園）,預收款覆蓋倍數 2.808（同年中位 2.215，偏高，第 91 百分位；同儕 34 園）,業務費占支出比 0.040（同年中位 0.030，偏高，第 84 百分位；同儕 38 園）
N16,中平,113,0.6278,31,18.9,38,15,0.5165,0,,,,師生比（每師幼兒數） 11.200（同年中位 9.589，偏高，第 92 百分位；同儕 38 園）,修繕購置費執行率 1.327（同年中位 0.953，偏高，第 84 百分位；同儕 38 園）,材料費占支出比 0.103（同年中位 0.088，偏高，第 84 百分位；同儕 38 園）
N25,碧城,111,0.6076,22,32.3,32,16,1.197,0,,,,本期餘絀率 -0.013（同年中位 0.023，偏低，第 9 百分位；同儕 32 園）,師生比（每師幼兒數） 13.333（同年中位 11.125，偏高，第 94 百分位；同儕 32 園）,維護費執行率 0.145（同年中位 0.597，偏低，第 3 百分位；同儕 32 園）
N14,積穗,112,0.6048,24,30.3,34,16,0.8432,0,,,,本期餘絀率 -0.035（同年中位 0.010，偏低，第 6 百分位；同儕 34 園）,流動比率 1.193（同年中位 1.449，偏低，第 6 百分位；同儕 34 園）,人事費執行率 0.949（同年中位 0.843，偏高，第 94 百分位；同儕 34 園）
N02,山北,110,0.5971,21,25.9,28,16,,0,,,,修繕購置費執行率 0.398（同年中位 0.953，偏低，第 11 百分位；同儕 28 園）,師生比（每師幼兒數） 9.000（同年中位 10.957，偏低，第 4 百分位；同儕 28 園）,材料費占支出比 0.096（同年中位 0.108，偏低，第 25 百分位；同儕 28 園）
N13,三多,113,0.5957,32,16.2,38,15,0.3171,0,,,,流動比率 1.718（同年中位 1.455，偏高，第 82 百分位；同儕 38 園）,預收款覆蓋倍數 2.752（同年中位 2.215，偏高，第 82 百分位；同儕 34 園）,負債占資產比 0.916（同年中位 0.868，偏高，第 84 百分位；同儕 38 園）
N01,安溪,110,0.595,22,22.2,28,16,,0,,,,負債占資產比 0.893（同年中位 0.841，偏高，第 93 百分位；同儕 28 園）,代收代付等占收入比 0.096（同年中位 0.147，偏低，第 12 百分位；同儕 24 園）,維護費執行率 0.894（同年中位 0.582，偏高，第 86 百分位；同儕 28 園）
N13,三多,110,0.5944,23,18.5,28,16,,0,,,,修繕購置費執行率 0.544（同年中位 0.953，偏低，第 18 百分位；同儕 28 園）,負債占資產比 0.909（同年中位 0.841，偏高，第 96 百分位；同儕 28 園）,招收利用率 0.989（同年中位 0.997，偏低，第 29 百分位；同儕 28 園）
N16,中平,111,0.5943,23,29.0,32,16,0.5884,0,,,,本期餘絀率 0.001（同年中位 0.023，偏低，第 16 百分位；同儕 32 園）,預收款覆蓋倍數 1.764（同年中位 2.169，偏低，第 16 百分位；同儕 32 園）,修繕購置費執行率 0.702（同年中位 0.921，偏低，第 31 百分位；同儕 32 園）
N15,新月,111,0.5852,24,25.8,32,16,0.7968,0,,,,修繕購置費執行率 0.422（同年中位 0.921，偏低，第 12 百分位；同儕 32 園）,材料費占支出比 0.074（同年中位 0.104，偏低，第 3 百分位；同儕 32 園）,業務費占支出比 0.018（同年中位 0.033，偏低，第 6 百分位；同儕 32 園）
N28,新樂,111,0.5758,25,22.6,32,16,1.3491,0,,,,招收利用率 0.962（同年中位 0.991，偏低，第 22 百分位；同儕 32 園）,本期餘絀率 0.062（同年中位 0.023，偏高，第 84 百分位；同儕 32 園）,業務費占支出比 0.045（同年中位 0.033，偏高，第 88 百分位；同儕 32 園）
