title,fee_109,fee_110,fee_111,fee_112,fee_113,fee_114,max_jump_pct,max_jump_pre113_pct
新北市私立佳欣幼兒園,70400,70400,73100,73100,73100,77750,6.36,3.84
新北市私立佳盈幼兒園,82800,82800,82800,82800,82800,82800,0.0,0.0
新北市私立佳辰幼兒園,71933,73933,73933,76700,80125,83875,4.68,3.74
新北市私立來來幼兒園,79600,83500,90250,91900,92119,96034,8.08,8.08
新北市私立來得幼兒園,56562,59322,60162,61416,67143,67143,9.32,4.88
新北市私立俏媽咪幼兒園,88235,90980,91224,91224,102474,102474,12.33,3.11
新北市私立偉仁幼兒園,70750,79000,81752,87002,99058,99058,13.86,11.66
新北市私立偉恩幼兒園,63750,68400,73500,76500,78750,78750,7.46,7.46
新北市私立健群幼兒園,66300,68100,68100,68100,71968,71968,5.68,2.71
新北市私立傑出幼兒園,51300,52740,53880,54900,61728,61728,12.44,2.81
新北市私立傑安幼兒園,68100,68760,68760,68760,73575,73575,7.0,0.97
新北市私立傑瑞兒童村幼兒園,79800,79800,88800,88800,88800,94875,11.28,11.28
新北市私立傳動幼兒園,59000,59000,59000,59000,59000,59000,0.0,0.0
新北市私立僑治亞幼兒園,69600,74100,90225,90225,92750,92750,21.76,21.76
新北市私立僑治亞幼兒園中港分班,69200,73200,88200,88200,91533,91533,20.49,20.49
新北市私立僑治亞頭前幼兒園,66000,72300,78000,82650,82650,82650,9.55,9.55
新北市私立儒林幼兒園,61625,68412,72012,72912,76062,76062,11.01,11.01
新北市私立優兒幼兒園,66050,69636,69636,69636,73065,73065,5.43,5.43
新北市私立優時代幼兒園,129600,129600,134100,134100,135600,142375,5.0,3.47
新北市私立優貝兒幼兒園,73152,73648,73648,73648,78566,78566,6.68,0.68
新北市私立優質幼兒園,47025,47025,55334,56216,59560,59560,17.67,17.67
新北市私立兆元幼兒園,71750,71750,71750,105750,129000,129000,47.39,47.39
新北市私立光星幼兒園,78400,80400,80650,80650,90430,100535,12.13,2.55
新北市私立光華幼兒園,63175,66675,75525,78465,78465,78465,13.27,13.27
新北市私立兒童天地幼兒園,60000,66540,66540,66540,71154,71154,10.9,10.9
新北市私立兜群育資優幼兒園,60000,60000,69750,71775,76344,76344,16.25,16.25
新北市私立全國幼兒園,65444,67964,67964,67964,73816,73816,8.61,3.85
新北市私立全球幼兒園,55500,69150,71250,73066,76222,76222,24.59,24.59
新北市私立全能愛彌兒板橋幼兒園,61398,60000,71850,71850,71850,71850,19.75,19.75
新北市私立全能愛彌兒板橋幼兒園永豐分班,60000,60000,68000,68000,78000,78000,14.71,13.33
