file,short_name,academic_year,extracted_operator,registry_operators,operator_match,contract_period,period_contains_year,opening_year,total_assets,registry_capacity,assets_per_place,magnitude_plausible
N23_菁湖_110.json,菁湖,110,財團法人三之三生命教育基金會,三之三生命教育基金會,True,109年8月1日至113年7月31日（110年2月1日開園）,True,0,7182174,106,67756,True
N23_菁湖_111.json,菁湖,111,財團法人三之三生命教育基金會,三之三生命教育基金會,True,109年8月1日至113年7月31日(110年2月1日開園),True,0,8789745,106,82922,True
N23_菁湖_112.json,菁湖,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,109年8月1日至113年7月31日（110年2月1日開園）,True,0,12050504,106,113684,True
N23_菁湖_113.json,菁湖,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,113年8月1日至117年7月31日,True,1,14595729,106,137696,
N24_佳林_110.json,佳林,110,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,110年8月1日至114年7月31日,True,1,8558039,90,95089,
N24_佳林_111.json,佳林,111,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,110年8月1日至114年7月31日,True,0,10544712,90,117163,True
N24_佳林_112.json,佳林,112,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,110年8月1日至114年7月31日,True,0,12772556,90,141917,True
N24_佳林_113.json,佳林,113,社團法人臺灣兒童教育發展協會,臺灣兒童教育發展協會,True,110年8月1日至114年7月31日,True,0,14165305,90,157392,True
N25_碧城_110.json,碧城,110,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 仁德醫護管理專科學校,True,110年8月1日至114年7月31日,True,1,9598458,120,79987,
N25_碧城_111.json,碧城,111,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 仁德醫護管理專科學校,True,110年8月1日至114年7月31日,True,0,10421178,120,86843,True
N25_碧城_112.json,碧城,112,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 仁德醫護管理專科學校,True,110年8月1日至114年7月31日,True,0,12457421,120,103812,True
N25_碧城_113.json,碧城,113,社團法人中華音樂舞蹈暨表演藝術教育協會,中華音樂舞蹈暨表演藝術教育協會 | 仁德醫護管理專科學校,True,110年8月1日至114年7月31日,True,0,11607567,120,96730,True
N26_新店及人_110.json,新店及人,110,財團法人新北市私立及人高級中學,新北市私立及人高級中學,True,110年8月1日至114年7月31日,True,1,7616424,120,63470,
N26_新店及人_111.json,新店及人,111,財團法人新北市私立及人高級中學,新北市私立及人高級中學,True,110年8月1日至114年7月31日,True,0,9912453,120,82604,True
N26_新店及人_112.json,新店及人,112,財團法人新北市私立及人高級中學,新北市私立及人高級中學,True,110年8月1日至114年7月31日,True,0,13048655,120,108739,True
N26_新店及人_113.json,新店及人,113,財團法人新北市私立及人高級中學,新北市私立及人高級中學,True,110年8月1日至114年7月31日,True,0,9835674,120,81964,True
N27_育平_110.json,育平,110,財團法人彭婉如文教基金會,彭婉如文教基金會,True,110年8月1日至114年7月31日,True,1,7225898,106,68169,
N27_育平_111.json,育平,111,財團法人彭婉如文教基金會,彭婉如文教基金會,True,110年8月1日至114年7月31日,True,0,10190076,106,96133,True
N27_育平_112.json,育平,112,財團法人彭婉如文教基金會,彭婉如文教基金會,True,110年8月1日至114年7月31日,True,0,13687046,106,129123,True
N27_育平_113.json,育平,113,財團法人彭婉如文教基金會,彭婉如文教基金會,True,110年8月1日至114年7月31日,True,0,15100924,106,142462,True
N28_新樂_110.json,新樂,110,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年2月1日至115年7月31日,True,1,11254617,212,53088,
N28_新樂_111.json,新樂,111,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年2月1日至115年7月31日,True,0,16704134,212,78793,True
N28_新樂_112.json,新樂,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年2月1日至115年7月31日,True,0,20766461,212,97955,True
N28_新樂_113.json,新樂,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年2月1日至115年7月31日,True,0,25238586,212,119050,True
N29_東湖_111.json,東湖,111,社團法人新北市巧湖溫馨關懷發展協會,新北市巧湖溫馨關懷發展協會,True,111年8月1日至115年7月31日(111年8月30日開園),True,1,16295950,242,67339,
N29_東湖_112.json,東湖,112,社團法人新北市巧湖溫馨關懷發展協會,新北市巧湖溫馨關懷發展協會,True,111年8月1日至115年7月31日（111年8月30日開園）,True,0,19579559,242,80907,True
N29_東湖_113.json,東湖,113,社團法人新北市巧湖溫馨關懷發展協會,新北市巧湖溫馨關懷發展協會,True,111年8月1日至115年7月31日（111年8月30日開園）,True,0,23878996,242,98674,True
N30_文中_111.json,文中,111,財團法人三之三生命教育基金會,三之三生命教育基金會 | 臺灣澄芽全人文教發展協會,True,111年8月1日至115年7月31日（111年9月30日開園）,True,1,2672191,106,25209,
N30_文中_112.json,文中,112,財團法人三之三生命教育基金會,三之三生命教育基金會 | 臺灣澄芽全人文教發展協會,True,111年8月1日至115年7月31日（111年9月30日開園）,True,0,9344160,106,88152,True
N30_文中_113.json,文中,113,財團法人三之三生命教育基金會,三之三生命教育基金會 | 臺灣澄芽全人文教發展協會,True,111年8月1日至115年7月31日（111年9月30日開園）,True,0,12185448,106,114957,True
N31_翠中_111.json,翠中,111,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日（111年9月30日開園）,True,1,1748732,90,19430,
N31_翠中_112.json,翠中,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日（111年9月30日開園）,True,0,6113870,90,67932,True
N31_翠中_113.json,翠中,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,111年8月1日至115年7月31日（111年9月30日開園）,True,0,7827218,90,86969,True
N32_板橋員工子女_111.json,板橋員工子女,111,財團法人台北基督教女青年會,台北基督教女青年會,True,111年8月1日至115年7月31日,True,1,10797955,166,65048,
N32_板橋員工子女_112.json,板橋員工子女,112,財團法人台北基督教女青年會,台北基督教女青年會,True,111年8月1日至115年7月31日,True,0,13503665,166,81347,True
N32_板橋員工子女_113.json,板橋員工子女,113,財團法人台北基督教女青年會,台北基督教女青年會,True,111年8月1日至115年7月31日,True,0,16798729,166,101197,True
N33_淡海_112.json,淡海,112,財團法人三之三生命教育基金會,三之三生命教育基金會,True,112年8月1日至116年7月31日（112年9月28日開園）,True,1,14290330,182,78518,
N33_淡海_113.json,淡海,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,112年8月1日至116年7月31日（112年9月28日開園）,True,0,14871527,182,81712,True
N34_佳和_112.json,佳和,112,康寧學校財團法人康寧大學,康寧學校康寧大學,True,112年8月1日至116年7月31日（112年9月28日開園）,True,1,11453904,106,108056,
N34_佳和_113.json,佳和,113,康寧學校財團法人康寧大學,康寧學校康寧大學,True,112年8月1日至116年7月31日（112年9月28日開園）,True,0,13742444,106,129646,True
N35_桃子腳_113.json,桃子腳,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,113年8月1日至117年7月31日（113年8月30日開園）,True,1,14039173,242,58013,
N36_明德_113.json,明德,113,社團法人中華幼兒創造思考教育學會,中華幼兒創造思考教育學會,True,113年8月1日至117年7月31日（113年9月27日開園）,True,1,8770380,106,82739,
N37_清水高中_113.json,清水高中,113,財團法人台北市中華基督教青年會,台北市中華基督教青年會,True,113年8月1日至117年7月31日（113年9月27日開園）,True,1,6816722,90,75741,
N38_崁頂_113.json,崁頂,113,財團法人三之三生命教育基金會,三之三生命教育基金會,True,113年8月1日至117年7月31日（113年9月27日開園）,True,1,28517394,272,104843,
