code,short_name,academic_year,rule,rule_text,passed,detail,severity
N03,龍埔成長,110,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 2,536,501 = 負債 2,536,501",high
N03,龍埔成長,110,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 98,000，本期餘絀 +767,673（未虧損）",high
N03,龍埔成長,110,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 98,000 = 收入合計 11,955,951 的 0.8%",high
N03,龍埔成長,110,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 754,595（決算 7,235,004 / 預算 7,989,599），同期支出合計超支 839,077。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N03,龍埔成長,110,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 46,988 vs 年末應付受託法人款 46,988，差額 +0；本年度以現金支付約 70,852（表列行政管理費 117,840 − 揭露數）",medium
N03,龍埔成長,110,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延後托育收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 1,675,731；延後托育收入淨額 = 延後托育支出 = 289,925——可能為代收代付，需確認是否總額入帳",medium
N03,龍埔成長,111,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 326,901 vs 負債 326,901，差額 +0",medium
N03,龍埔成長,111,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 3,536,501 = 負債 3,536,501",high
N03,龍埔成長,111,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 1,000,000，本期餘絀 +351,100（未虧損）",high
N03,龍埔成長,111,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 1,000,000 = 收入合計 12,215,954 的 8.2%",high
N03,龍埔成長,111,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 1,425,917（決算 6,737,493 / 預算 8,163,410），同期支出合計超支 1,341,842。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N03,龍埔成長,111,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,,缺附註五揭露金額或年末應付受託法人款,medium
N03,龍埔成長,111,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延後托育收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 1,853,498——可能為代收代付，需確認是否總額入帳",medium
N03,龍埔成長,112,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 374,643 vs 負債 374,643，差額 +0",medium
N03,龍埔成長,112,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 5,929,501 = 負債 5,929,501",high
N03,龍埔成長,112,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 2,393,000，本期餘絀 +250,734（未虧損）",high
N03,龍埔成長,112,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額之百分之20為業務發展準備金。,True,"提列 2,393,000 = 收入合計 14,144,106 的 16.9%",high
N03,龍埔成長,112,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 3,058,375（決算 5,280,926 / 預算 8,339,301），同期支出合計超支 3,194,469。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N03,龍埔成長,112,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 36,682 vs 年末應付受託法人款 36,682，差額 +0；本年度以現金支付約 81,158（表列行政管理費 117,840 − 揭露數）",medium
N03,龍埔成長,112,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延長照顧服務收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 3,721,263——可能為代收代付，需確認是否總額入帳",medium
N03,龍埔成長,113,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 428,137 vs 負債 428,137，差額 +0",medium
N03,龍埔成長,113,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 7,629,301 = 負債 7,629,301",high
N03,龍埔成長,113,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,,"提列 1,699,800 後本期餘絀 -760,073（虧損），但提列前為 +939,727（未虧損）——虧損係提列本身造成，是否符合「未發生虧損之年度」需主管機關認定",high
N03,龍埔成長,113,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額之百分之20為業務發展準備金。,True,"提列 1,699,800 = 收入合計 12,844,402 的 13.2%",high
N03,龍埔成長,113,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 837,653（決算 8,710,840 / 預算 9,548,493），同期支出合計超支 1,800,826。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N03,龍埔成長,113,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,False,"附註五揭露 179,804 vs 年末應付受託法人款 175,663，差額 -4,141；本年度以現金支付約 2,250（表列行政管理費 182,054 − 揭露數）",medium
N03,龍埔成長,113,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延長照顧服務收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 948,203——可能為代收代付，需確認是否總額入帳",medium
N04,海工,110,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 113,473 vs 負債 113,473，差額 +0",medium
N04,海工,110,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 2,074,000 = 負債 2,074,000",high
N04,海工,110,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 336,000，本期餘絀 +373,081（未虧損）",high
N04,海工,110,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 336,000 = 收入合計 7,163,219 的 4.7%",high
N04,海工,110,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 749,665（決算 3,798,440 / 預算 4,548,105），同期支出合計超支 440,861。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N04,海工,110,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 90,012 vs 年末應付受託法人款 90,012，差額 +0；本年度以現金支付約 0（表列行政管理費 90,012 − 揭露數）",medium
N04,海工,110,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延後托育收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 765,804——可能為代收代付，需確認是否總額入帳",medium
N04,海工,111,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 139,758 vs 負債 139,758，差額 +0",medium
N04,海工,111,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 2,554,000 = 負債 2,554,000",high
N04,海工,111,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 480,000，本期餘絀 +85,302（未虧損）",high
N04,海工,111,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額（家長繳交之費用；其有政府差額補助費者，應合併計算）之百分之20為業務發展準備金。,True,"提列 480,000 = 收入合計 7,765,295 的 6.2%",high
N04,海工,111,人事費不得流出,附註二(十)1.(3)：人事費不得流出。,,"人事費少支 644,363（決算 4,018,956 / 預算 4,663,319），同期支出合計超支 1,215,502。少支本身不等於流出（可能為缺額未補），但需確認是否將人事費挪用於其他科目",high
N04,海工,111,附註五揭露 = 年末應付受託法人餘額,附註五 關係人交易：揭露予受託法人（關係人）之年末應付款餘額；全語料庫 96% 的報告中，此揭露數即為該年末應付受託法人餘額。,True,"附註五揭露 47,012 vs 年末應付受託法人款 47,012，差額 +0；本年度以現金支付約 43,000（表列行政管理費 90,012 − 揭露數）",medium
N04,海工,111,收入不得以淨額入帳,附註二(八)：所有收入，均應列入各相關收入項目，並以收入總額入帳，不得以收支相抵後淨額入帳。,,"科目名稱含「淨額」：延後托育收入淨額；收入與支出金額完全相同：其他收入 = 其他支出 = 1,219,083——可能為代收代付，需確認是否總額入帳",medium
N04,海工,112,資遣費準備金 資產=負債,附註二(四)：以專戶或定期存款方式儲存之資遣費準備金，帳列非流動資產項下，基金數額應與非流動負債數額相符。,True,"資產 166,661 vs 負債 166,661，差額 +0",medium
N04,海工,112,業務發展準備金 資產=負債,附註二(五)：應於同意後一個月內，以專戶或定期存款方式儲存（帳列非流動資產，與非流動負債相符）。,True,"資產 3,854,000 = 負債 3,854,000",high
N04,海工,112,虧損年度不得提列業務發展準備,附註二(五)：非營利幼兒園未發生虧損之年度…始得提列業務發展準備金。,True,"提列 1,300,000，本期餘絀 +322,225（未虧損）",high
N04,海工,112,業務發展準備提列上限 20%,附註二(五)：至多提列收入總額之百分之20為業務發展準備金。,True,"提列 1,300,000 = 收入合計 9,031,229 的 14.4%",high
