code,short_name,academic_year,balance_sheet_date,income_period,operator,contract_period,approved_capacity,actual_enrolment,total_staff,educators,cash,prepaid_receipts,current_assets_total,current_liabilities_total,reserve_asset,reserve_liability,severance_asset,severance_liability,accumulated_surplus,current_surplus,equity_total,total_assets,total_liabilities,人事費_預算,人事費_決算,業務費_預算,業務費_決算,材料費_預算,材料費_決算,維護費_預算,維護費_決算,修繕購置費_預算,修繕購置費_決算,雜支_預算,雜支_決算,行政管理費_預算,行政管理費_決算,業務發展費_預算,業務發展費_決算,支出合計_決算,收入合計_決算,prepaid_coverage,reserve_funding_gap,equity_erosion,maintenance_execution,repair_execution,personnel_execution,admin_fee_execution,related_party_priority,enrolment_utilisation,staff_ratio,cost_per_child,unbudgeted_spend,identity_passed,identity_failed,n_issues
N08,鷺江,113,民國114年7月31日,民國113年8月1日至114年7月31日,財團法人彭婉如文教基金會,中華民國110年8月1日至114年7月31日,100,96,13,10,4356499,2149620,4438663,3085621,11525647,11525647,342271,342271,2121702,-765660,1356042,17541054,16185012,9054090,7810400,819400,493617,1747000,1386265,143000,92427,140000,130993,49164,2222,256640,256640,,2245150,16288934,15523274,2.026637,0,-0.360871,0.646343,0.935664,0.862638,1.0,0.352373,0.96,9.6,169676.395833,10110489,9,0,10
N09,安興,110,111年7月31日,110.8.1~111.7.31,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,60,60,8,5,3960631,1383480,4175291,2726455,2000000,2000000,106022,106022,840053,608783,1448836,7824765,6375929,5098449,4234041,568000,257048,904200,708169,93000,111992,84000,62469,34080,342,147220,147220,,820000,8259804,8902973,2.862803,0,0.724696,1.204215,0.743679,0.830457,1.0,0.329311,1.0,12.0,137663.4,4613384,9,0,5
N09,安興,111,民國112年7月31日,111.8.1~112.7.31,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,60,60,7,4,3830890,1484908,4374023,2683535,3375000,3375000,135733,135733,1448836,241652,1690488,9231968,7541480,5220945,4104465,568000,356779,904200,798212,93000,136426,84000,68974,34080,3487,147220,147220,,1375000,8883790,9125442,2.579884,0,0.16679,1.466946,0.821119,0.786154,1.0,0.218758,1.0,15.0,148063.166667,5339503,9,0,4
N09,安興,112,113年7月31日,民國112年8月1日至113年7月31日,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,60,57,8,5,4398152,1596474,4495140,2728079,5305000,5305000,150459,150459,1690488,76573,1767061,11035497,9268436,5268163,3361395,568000,356119,904200,868837,93000,87109,84000,67046,34080,8923,147220,147220,,1930000,9801505,9878078,2.754916,0,0.045296,0.936656,0.798167,0.638058,1.0,0.296239,0.95,11.4,171956.22807,7837436,9,0,6
N09,安興,113,114年7月31日,民國113年8月1日至114年7月31日,社團法人臺灣兒童教育發展協會,110年8月1日至114年7月31日,52,45,8,5,8589308,,8666787,2986112,,,,,1767061,3913614,5680675,9560217,3879542,5355189,4817555,593000,345000,908440,850077,93000,116894,72800,98986,35580,28993,150144,150144,,1419000,10105038,15297334,,,2.214759,1.256925,1.359698,0.899605,1.0,0.025227,0.865385,9.0,224556.4,13858445,9,0,10
N10,大觀,110,111年7月31日,110.8.1~111.7.31,社團法人新北市中華國際嬰幼兒發展學會,107年8月1日至111年7月31日,106,103,13,10,5235310,3169576,5467389,4636886,3116000,3116000,188031,188031,663160,167343,830503,10628680,9798177,8228230,8041532,799400,584686,1650420,1402811,143000,38191,148400,221493,47964,8683,84736,84736,,116000,13109480,13298222,1.651738,0,0.252342,0.26707,1.49254,0.97731,1.0,0.250112,0.971698,10.3,127276.504854,5335849,9,0,4
N10,大觀,111,112年7月31日,111.8.1~112.7.31,社團法人新北市中華國際嬰幼兒發展學會,111年8月1日至115年7月31日,106,105,13,10,5877595,3530455,6285805,5261336,3686000,3686000,242493,242493,830503,193966,1024469,11812646,10788177,9654182,8970981,799400,607365,1597420,1596789,143000,62802,148400,145300,47964,4422,239682,239682,,570000,14918437,15112403,1.664826,0,0.233552,0.439175,0.979111,0.929233,1.0,0.300151,0.990566,10.5,142080.352381,5953312,9,0,3
N10,大觀,112,113年7月31日,民國112年8月1日至113年7月31日,社團法人新北市中華國際嬰幼兒發展學會,111年8月1日至115年7月31日,106,106,13,10,7036258,3718185,7527271,5509802,3686000,3862650,242493,298187,1024469,760656,1785125,13229540,11444415,9880024,8924216,799400,628248,1597420,1539261,143000,38812,148400,136372,47964,1982,239682,239682,,176650,16015406,16776062,1.892391,176650,0.742488,0.271413,0.918949,0.903259,1.0,0.352594,1.0,10.6,151088.735849,8806612,9,0,6
N10,大觀,113,114年7月31日,民國113年8月1日至114年7月31日,社團法人新北市中華國際嬰幼兒發展學會,111年8月1日至115年7月31日,100,99,13,10,6479455,3338598,6555425,5293667,5572550,5572550,335006,335006,1785125,-523367,1261758,14199205,12937447,10081901,9314356,799400,610060,1747000,1664885,143000,111706,140000,162717,47964,14453,254640,254640,,1709900,18076343,17552976,1.940771,0,-0.293182,0.781161,1.162264,0.923869,1.0,0.185872,0.99,9.9,182589.323232,10242282,9,0,6
N11,新林,110,111年7月31日,110.8.1~111.7.31,社團法人中華音樂舞蹈暨表演藝術教育協會,107年8月1日至111年7月31日,136,136,16,11,5791048,2984568,6125707,4773193,3653772,3653772,200419,200419,1077798,274716,1352514,11726758,10374244,10243736,9506267,773800,612060,2117520,2126375,143000,103833,190400,189839,46428,46331,82023,82023,,,15617392,15892108,1.94033,0,0.254886,0.726105,0.997054,0.928008,1.0,0.092627,1.0,12.363636,114833.764706,5823418,9,0,5
